Size, Type, Time
600000, "Built-in", 0.128298
700000, "Sequential", 0.150616
700000, "Parallel", 0.259338
700000, "Built-in", 0.152265
700000, "Sequential", 0.155749
700000, "Parallel", 0.246470
700000, "Built-in", 0.152906
700000, "Sequential", 0.155255
700000, "Parallel", 0.264461
700000, "Built-in", 0.153718
700000, "Sequential", 0.155326
700000, "Parallel", 0.259196
700000, "Built-in", 0.153280
700000, "Sequential", 0.151631
700000, "Parallel", 0.297262
700000, "Built-in", 0.152723
800000, "Sequential", 0.175191
800000, "Parallel", 0.262839
800000, "Built-in", 0.175886
800000, "Sequential", 0.173897
800000, "Parallel", 0.263635
800000, "Built-in", 0.175209
800000, "Sequential", 0.172498
800000, "Parallel", 0.277198
800000, "Built-in", 0.175962
800000, "Sequential", 0.172028
800000, "Parallel", 0.256852
800000, "Built-in", 0.177421
800000, "Sequential", 0.172907
800000, "Parallel", 0.293744
800000, "Built-in", 0.174919
900000, "Sequential", 0.207014
900000, "Parallel", 0.350498
900000, "Built-in", 0.199475
900000, "Sequential", 0.206659
900000, "Parallel", 0.309256
900000, "Built-in", 0.202838
900000, "Sequential", 0.201241
900000, "Parallel", 0.366850
900000, "Built-in", 0.209321
900000, "Sequential", 0.196269
900000, "Parallel", 0.276777
900000, "Built-in", 0.203568
900000, "Sequential", 0.199504
900000, "Parallel", 0.263776
900000, "Built-in", 0.208272
1000000, "Sequential", 0.229271
1000000, "Parallel", 0.285283
1000000, "Built-in", 0.225242
1000000, "Sequential", 0.222315
1000000, "Parallel", 0.313036
1000000, "Built-in", 0.223424
1000000, "Sequential", 0.225244
1000000, "Parallel", 0.283546
1000000, "Built-in", 0.223170
1000000, "Sequential", 0.225217
1000000, "Parallel", 0.330391
1000000, "Built-in", 0.223702
1000000, "Sequential", 0.221691
1000000, "Parallel", 0.298539
1000000, "Built-in", 0.222900
